objectid,apn,locapn,genplan,zoning,gacres,locacres,allowden,allowhigh,relcapcty,sitetype,pdaparcel,existuse,Shape__Are,Shape__Len,geometry
70437,3790/002,3790/002,East SoMa,SB-DTR,0.296,0.29665897845,,0,0.0,Vacant,Y,Vacant,1.22804067e-07,0.001765810781747,"POLYGON ((-122.388487154 37.7826856240001, -122.388510323 37.782383666, -122.389028509 37.782794713, -122.389004048 37.7828141370001, -122.389002701 37.7828130890001, -122.389001332 37.7828120570001, -122.38899994 37.7828110460001, -122.388998526 37.782810053, -122.388997091 37.782809081, -122.388995634 37.782808129, -122.388994157 37.7828071960001, -122.388992659 37.782806285, -122.388991142 37.782805395, -122.388989605 37.7828045250001, -122.388988049 37.7828036770001, -122.388986475 37.7828028500001, -122.388984884 37.782802045, -122.388983274 37.7828012630001, -122.388981647 37.7828005040001, -122.388980004 37.782799766, -122.388978345 37.782799052, -122.388976671 37.7827983610001, -122.388974983 37.7827976930001, -122.388973279 37.7827970480001, -122.388971561 37.782796428, -122.38896983 37.7827958300001, -122.388968087 37.782795257, -122.388966329 37.782794709, -122.388964561 37.7827941840001, -122.388962783 37.7827936850001, -122.388960993 37.7827932100001, -122.388959193 37.7827927610001, -122.388957384 37.7827923350001, -122.388955564 37.782791935, -122.388953737 37.7827915610001, -122.388951902 37.7827912120001, -122.38895006 37.7827908880001, -122.38894821 37.78279059, -122.388946354 37.782790317, -122.388944493 37.7827900710001, -122.388942627 37.782789849, -122.388940755 37.7827896530001, -122.388938879 37.782789484, -122.388937001 37.7827893420001, -122.388935119 37.782789225, -122.388933235 37.7827891330001, -122.38893135 37.782789069, -122.388929464 37.7827890300001, -122.388927576 37.782789017, -122.38892569 37.7827890310001, -122.388923802 37.78278907, -122.388921917 37.7827891360001, -122.388920032 37.7827892280001, -122.388918152 37.782789345, -122.388916274 37.78278949, -122.388914399 37.78278966, -122.388912527 37.7827898560001, -122.388910661 37.7827900770001, -122.3889088 37.7827903250001, -122.388906943 37.7827905990001, -122.388905094 37.782790897, -122.388903252 37.7827912230001, -122.388901417 37.7827915730001, -122.388899591 37.7827919480001, -122.388897771 37.782792348, -122.388895962 37.782792774, -122.388894161 37.782793225, -122.388892373 37.7827937000001, -122.388890594 37.7827942010001, -122.388888827 37.7827947260001, -122.38888707 37.7827952750001, -122.388885327 37.782795849, -122.388883596 37.7827964460001, -122.38888188 37.782797067, -122.388880176 37.782797713, -122.388878487 37.7827983810001, -122.388876813 37.782799074, -122.388875155 37.7827997890001, -122.388873513 37.7828005270001, -122.388871887 37.782801287, -122.388870278 37.7828020700001, -122.388868686 37.7828028760001, -122.388867113 37.782803702, -122.388865557 37.7828045520001, -122.388864021 37.782805421, -122.388862505 37.782806313, -122.388861009 37.7828072250001, -122.388859531 37.7828081580001, -122.388858076 37.7828091100001, -122.38885664 37.7828100830001, -122.388855228 37.782811076, -122.388853837 37.7828120890001, -122.388852467 37.7828131200001, -122.388851122 37.7828141700001, -122.3888498 37.7828152380001, -122.388848501 37.782816326, -122.388847226 37.7828174310001, -122.388845977 37.782818553, -122.388844751 37.782819692, -122.388843549 37.782820848, -122.388842376 37.78282202, -122.388841228 37.7828232090001, -122.388840106 37.7828244130001, -122.38883901 37.7828256330001, -122.388837941 37.782826867, -122.388836901 37.7828281170001, -122.388835885 37.7828293810001, -122.388834901 37.782830657, -122.388833944 37.7828319490001, -122.388833014 37.782833253, -122.388832114 37.782834569, -122.388831244 37.782835897, -122.388830401 37.7828372380001, -122.38882959 37.78283859, -122.388828807 37.7828399530001, -122.388828056 37.7828413280001, -122.388827334 37.782842712, -122.388826643 37.782844106, -122.388825982 37.782845509, -122.388825352 37.7828469200001, -122.388824753 37.782848341, -122.388824188 37.78284977, -122.388823652 37.782851206, -122.388823147 37.7828526500001, -122.388822675 37.7828541010001, -122.388822236 37.7828555570001, -122.388821827 37.7828570200001, -122.388821451 37.7828584870001, -122.388821108 37.7828599600001, -122.388820797 37.7828614370001, -122.388820519 37.782862919, -122.388820273 37.7828644030001, -122.38882006 37.7828658920001, -122.388819879 37.7828673830001, -122.388819732 37.7828688760001, -122.388819617 37.782870372, -122.388819536 37.782871868, -122.388819487 37.782873366, -122.38881947 37.7828748630001, -122.388819487 37.782876361, -122.388819537 37.7828778590001, -122.38881962 37.782879354, -122.388819735 37.78288085, -122.388819885 37.782882343, -122.388820065 37.7828838350001, -122.38882028 37.782885322, -122.388820527 37.7828868060001, -122.388820806 37.782888289, -122.388821118 37.782889766, -122.388821464 37.782891239, -122.38882184 37.782892707, -122.388822248 37.782894168, -122.38882269 37.782895625, -122.388823163 37.7828970750001, -122.388823667 37.782898518, -122.388824203 37.7828999540001, -122.388824772 37.7829013830001, -122.388825371 37.7829028030001, -122.388826002 37.782904214, -122.388826664 37.782905618, -122.388827356 37.7829070110001, -122.388828078 37.782908395, -122.388828831 37.7829097690001, -122.388829615 37.782911131, -122.388830427 37.782912482, -122.388831269 37.782913824, -122.388832142 37.782915152, -122.388833043 37.7829164680001, -122.388833972 37.7829177720001, -122.38883493 37.7829190630001, -122.388835917 37.7829203380001, -122.38883693 37.782921602, -122.388837973 37.78292285, -122.388839043 37.782924086, -122.38884014 37.7829253040001, -122.388841262 37.782926509, -122.388842412 37.7829276960001, -122.388843587 37.7829288680001, -122.388844788 37.7829300230001, -122.388846014 37.7829311630001, -122.388847264 37.782932284, -122.388848541 37.7829333880001, -122.388851162 37.7829355420001, -122.388826702 37.7829549670001, -122.388487154 37.7826856240001))"
70438,3792/004,3792/004,East SoMa,SB-DTR,0.402,0.40223446668,,0,0.0,Vacant,Y,Vacant,1.66506652e-07,0.002701127911527,"POLYGON ((-122.38947581 37.781616968, -122.388510323 37.782383666, -122.388546998 37.7819056810001, -122.388592133 37.7819051270001, -122.388615919 37.781904357, -122.388639685 37.7819032580001, -122.388663424 37.781901829, -122.388687125 37.781900073, -122.388710786 37.781897987, -122.388734397 37.7818955750001, -122.388757952 37.7818928360001, -122.388781441 37.7818897710001, -122.388804861 37.781886382, -122.388828201 37.781882667, -122.388851458 37.7818786300001, -122.388874622 37.781874273, -122.388897688 37.7818695940001, -122.388920644 37.781864598, -122.38894349 37.7818592830001, -122.388966214 37.781853653, -122.388988811 37.7818477100001, -122.389011274 37.7818414540001, -122.389033596 37.781834888, -122.38905577 37.781828015, -122.389077789 37.781820833, -122.389099647 37.7818133490001, -122.389121338 37.781805562, -122.389142854 37.781797478, -122.389164189 37.7817890960001, -122.389185337 37.781780419, -122.38920629 37.7817714510001, -122.389227042 37.7817621940001, -122.389247589 37.7817526520001, -122.389267922 37.781742826, -122.389288036 37.781732721, -122.389307926 37.7817223370001, -122.389327582 37.7817116800001, -122.389347003 37.7817007520001, -122.389366179 37.7816895570001, -122.389385106 37.781678098, -122.389403779 37.7816663790001, -122.389422191 37.781654401, -122.389440339 37.781642172, -122.389458212 37.7816296930001, -122.38947581 37.781616968))"
70439,3794/002,3794/002,East SoMa,MUO,0.087,0.08711544164,,0,12.0,Vacant,Y,Vacant,3.606101e-08,0.00089388393883,"POLYGON ((-122.390114333 37.77972636, -122.390059493 37.7800670240001, -122.389871758 37.7799181030001, -122.390114333 37.77972636))"
70440,5431A/001V,5431A/001V,"BVHP Area A,B",PDR-2,1.053,1.05396208103,0.0,0,0.0,Underutilized,Y,Industrial,4.35957645e-07,0.003684571642287,"POLYGON ((-122.394963147 37.7243249270001, -122.395080349 37.724065812, -122.396568557 37.724428167, -122.396560457 37.7244624670001, -122.396552456 37.7244967830001, -122.396529291 37.724598745, -122.396507008 37.7247008320001, -122.394963147 37.7243249270001))"
70441,3794/005,3794/005,East SoMa,MUO,0.152,0.15230524599,,0,21.0,Underutilized,Y,Commercial,6.3044354e-08,0.001159588397132,"POLYGON ((-122.391771582 37.7784163650001, -122.391889874 37.778322857, -122.392224558 37.7785912470001, -122.392106265 37.7786847560001, -122.391771582 37.7784163650001))"
70442,3794/006,3794/006,East SoMa,MUO,0.315,0.31565811215,,0,43.0,Underutilized,Y,Commercial,1.30663011e-07,0.001483044721672,"POLYGON ((-122.391979392 37.7787850490001, -122.392106265 37.7786847560001, -122.392224558 37.7785912470001, -122.392559244 37.7788596360001, -122.392314078 37.7790534380001, -122.391979392 37.7787850490001))"
70443,3797/004,3797/004,"South of Market, Other",MB-O,0.201,0.20116278823,0.0,0,0.0,Underutilized,Y,Public Prop,8.3270152e-08,0.003298604939691,"POLYGON ((-122.397993379 37.7735013280001, -122.397968522 37.773536182, -122.39796837 37.7735363890001, -122.397947905 37.7735638180001, -122.397947689 37.7735641040001, -122.397926639 37.7735912250001, -122.397926402 37.773591525, -122.397904684 37.7736184440001, -122.397904517 37.7736186500001, -122.397882192 37.7736452840001, -122.397882038 37.7736454660001, -122.397881224 37.7736464110001, -122.397859104 37.7736718150001, -122.397858971 37.773671967, -122.39785863 37.773672348, -122.397835483 37.7736979740001, -122.397835328 37.773698144, -122.397811781 37.7737232790001, -122.397811108 37.7737239890001, -122.397787536 37.77374826, -122.397786539 37.7737492810001, -122.397786328 37.7737494960001, -122.397761175 37.773774471, -122.397760988 37.7737746540001, -122.397735368 37.7737992040001, -122.3977351 37.773799458, -122.39770889 37.773823699, -122.397708671 37.773823899, -122.397681929 37.773847775, -122.397681708 37.7738479720001, -122.397654373 37.7738715360001, -122.39765422 37.773871668, -122.397653048 37.7738726520001, -122.397626352 37.773894865, -122.397626216 37.7738949770001, -122.397625619 37.773895462, -122.397597704 37.7739178960001, -122.397442166 37.7740407530001, -122.396703717 37.7745200090001, -122.397993379 37.7735013280001))"
70444,3797/004,3797/004,"South of Market, Other",MB-O,0.201,0.20116278823,0.0,0,0.0,Underutilized,Y,Public Prop,8.3270152e-08,0.003298604939691,"POLYGON ((-122.397993379 37.7735013280001, -122.397968522 37.773536182, -122.39796837 37.7735363890001, -122.397947905 37.7735638180001, -122.397947689 37.7735641040001, -122.397926639 37.7735912250001, -122.397926402 37.773591525, -122.397904684 37.7736184440001, -122.397904517 37.7736186500001, -122.397882192 37.7736452840001, -122.397882038 37.7736454660001, -122.397881224 37.7736464110001, -122.397859104 37.7736718150001, -122.397858971 37.773671967, -122.39785863 37.773672348, -122.397835483 37.7736979740001, -122.397835328 37.773698144, -122.397811781 37.7737232790001, -122.397811108 37.7737239890001, -122.397787536 37.77374826, -122.397786539 37.7737492810001, -122.397786328 37.7737494960001, -122.397761175 37.773774471, -122.397760988 37.7737746540001, -122.397735368 37.7737992040001, -122.3977351 37.773799458, -122.39770889 37.773823699, -122.397708671 37.773823899, -122.397681929 37.773847775, -122.397681708 37.7738479720001, -122.397654373 37.7738715360001, -122.39765422 37.773871668, -122.397653048 37.7738726520001, -122.397626352 37.773894865, -122.397626216 37.7738949770001, -122.397625619 37.773895462, -122.397597704 37.7739178960001, -122.397442166 37.7740407530001, -122.396703717 37.7745200090001, -122.397993379 37.7735013280001))"
70445,3800/003,3800/003,Showpl/Potrero,PDR-1-G,0.597,0.59784297778,0.0,0,0.0,Underutilized,Y,Industrial,2.47439857e-07,0.002816535753007,"POLYGON ((-122.401911062 37.769497373, -122.401265414 37.7700048670001, -122.400858779 37.7700306690001, -122.401886582 37.769219768, -122.401911062 37.769497373))"
70446,3800/004,3800/004,Showpl/Potrero,PDR-1-G,0.407,0.40729411053,0.0,0,0.0,Underutilized,Y,Industrial,1.68574843e-07,0.002099760196885,"POLYGON ((-122.401911062 37.769497373, -122.401936756 37.7697887360001, -122.402049104 37.769955134, -122.401265414 37.7700048670001, -122.401911062 37.769497373))"
