City,P(dev),Vacant
Campbell,0.1666666666666666,vacant
Clayton,0.0,vacant
Cloverdale,0.2413793103448276,vacant
Colma,,vacant
Concord,0.1282051282051282,vacant
Corte Madera,0.3,vacant
Cotati,0.0,vacant
Cupertino,,vacant
Daly City,0.1666666666666666,vacant
Danville,0.0,vacant
Dixon,0.3636363636363636,vacant
Dublin,0.0416666666666666,vacant
East Palo Alto,0.0,vacant
El Cerrito,0.0389610389610389,vacant
Emeryville,0.0,vacant
Fairfax,0.0,vacant
Fairfield,0.0129870129870129,vacant
Fremont,0.0952380952380952,vacant
Gilroy,0.0,vacant
Half Moon Bay,0.0642201834862385,vacant
Hayward,0.0526315789473684,vacant
Healdsburg,0.0833333333333333,vacant
Hercules,0.0,vacant
Lafayette,0.3333333333333333,vacant
Larkspur,,vacant
Livermore,0.2135922330097087,vacant
Los Altos,0.2608695652173913,vacant
Los Altos Hills,0.2666666666666666,vacant
Los Gatos,0.0,vacant
Martinez,0.0331950207468879,vacant
Menlo Park,0.054054054054054,vacant
Mill Valley,0.0333333333333333,vacant
Millbrae,0.0,vacant
Milpitas,0.0,vacant
Monte Sereno,,vacant
Moraga,0.0294117647058823,vacant
Morgan Hill,0.2125,vacant
Mountain View,0.2857142857142857,vacant
Napa,0.0952380952380952,vacant
Newark,0.25,vacant
Novato,,vacant
Oakland,,vacant
Oakley,1.0,vacant
Pacifica,0.0,vacant
Palo Alto,0.0,vacant
Petaluma,,vacant
Piedmont,0.0172413793103448,vacant
Pinole,0.032258064516129,vacant
Pittsburg,0.2941176470588235,vacant
Pleasant Hill,,vacant
Pleasanton,0.3103448275862069,vacant
Portola Valley,0.0921052631578947,vacant
Redwood City,0.0769230769230769,vacant
Richmond,0.0179372197309417,vacant
Rio Vista,0.0434782608695652,vacant
Rohnert Park,0.0,vacant
Ross,0.0,vacant
San Anselmo,,vacant
San Bruno,,vacant
San Carlos,0.054054054054054,vacant
San Francisco,0.0500373412994772,vacant
San Jose,0.084,vacant
San Leandro,0.0588235294117647,vacant
San Mateo,0.1,vacant
San Pablo,0.0263157894736842,vacant
San Rafael,0.0588235294117647,vacant
San Ramon,0.0,vacant
Santa Clara,0.0,vacant
Santa Rosa,,vacant
Saratoga,,vacant
Sausalito,0.0,vacant
Sebastopol,0.0444444444444444,vacant
Sonoma,0.2,vacant
South San Francisco,0.2,vacant
Suisun City,0.0,vacant
Sunnyvale,0.0,vacant
Tiburon,0.0,vacant
Union City,0.0666666666666666,vacant
Vacaville,0.1142857142857142,vacant
Vallejo,0.01,vacant
Walnut Creek,0.5,vacant
Windsor,0.0,vacant
