Permit Number	Permit Type	Permit Subtype	Status	Description	Site Address	Site APN	Applied Date	Issued Date	Finaled Date
2010-655912	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 212	16762022	9/8/2010	9/8/2010	6/24/2013
2010-655913	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 213	16762023	9/8/2010	9/8/2010	6/24/2013
2010-655914	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 214	16762024	9/8/2010	9/8/2010	6/24/2013
2010-655915	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 215	16762025	9/8/2010	9/8/2010	6/24/2013
2010-655916	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 216	16762026	9/8/2010	9/8/2010	6/24/2013
2010-655917	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 217	16762027	9/8/2010	9/8/2010	6/24/2013
2010-655918	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 218	16762028	9/8/2010	9/8/2010	10/22/2012
2010-655919	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 219	16762029	9/8/2010	9/8/2010	10/22/2012
2010-655920	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 220	16762030	9/8/2010	9/8/2010	10/22/2012
2010-655921	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 221	16762031	9/8/2010	9/8/2010	10/22/2012
2010-655922	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 222	16762032	9/8/2010	9/8/2010	10/22/2012
2010-655923	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 223	16762033	9/8/2010	9/8/2010	6/24/2013
2010-655924	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 224	16762034	9/8/2010	9/8/2010	6/24/2013
2010-655925	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 225	16762035	9/8/2010	9/8/2010	6/24/2013
2010-655926	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 226	16762036	9/8/2010	9/8/2010	6/24/2013
2010-655927	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 227	16762037	9/8/2010	9/8/2010	6/24/2013
2010-655929	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 228	16762038	9/8/2010	9/8/2010	6/24/2013
2010-655930	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 229	16762039	9/8/2010	9/8/2010	6/24/2013
2010-655931	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 230	16762040	9/8/2010	9/8/2010	6/24/2013
2010-655932	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 231	16762041	9/8/2010	9/8/2010	6/24/2013
2010-655933	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 232	16762042	9/8/2010	9/8/2010	6/24/2013
2010-655934	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 233	16762043	9/8/2010	9/8/2010	6/24/2013
2010-655935	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 234	16762044	9/8/2010	9/8/2010	1/9/2013
2010-655938	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 235	16762045	9/8/2010	9/8/2010	6/24/2013
2010-655939	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 236	16762046	9/8/2010	9/8/2010	6/24/2013
2010-655942	SFD	NULL	FINALED	New SFD	1801 FARNDON AV	31818039	9/9/2010	10/14/2010	5/24/2011
2010-655943	SFD	NULL	FINALED	New SFD	176 CORONADO AV	16731007	9/10/2010	11/17/2011	9/11/2015
2010-655958	DEMOLITION	NULL	FINALED	Demo	1801 FARNDON AV	31818039	9/14/2010	9/14/2010	10/14/2010
2010-655965	DEMOLITION	NULL	FINALED	Demo	372 BLUE OAK	16734006	9/15/2010	9/15/2010	9/24/2010
