City,Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
San Mateo,1.453004446168829,1.4197530864197532,0.48516129032258065,0.354226052896032,0.6117021276595744,0.08024691358024691,0.06666666666666667,0.1,0.06382978723404255,2 / 30,3 / 30,6 / 94
San Pablo,1.0,1.0,0.11804008908685969,0.06892067620286085,0.018867924528301886,0.03125,0.0,0.02631578947368421,0.008,0 / 62,1 / 38,1 / 125
San Rafael,0.1671511627906977,0.1791044776119403,0.21946375372393248,0.42015209125475284,0.06787330316742081,0.06666666666666667,0.125,0.0,0.057971014492753624,1 / 8,0 / 17,4 / 69
San Ramon,0.8571428571428571,0.8571428571428571,1.2131263232180662,0.39059304703476483,0.017452006980802792,0.014350453172205438,0.0,0.0,0.010526315789473684,0 / 30,0 / 4,2 / 190
Santa Clara,2.736504860439688,1.0011574074074074,1.0078182262399218,0.6523801992724972,0.2096969696969697,0.1950207468879668,0.06280193236714976,0.07142857142857142,0.06787330316742081,13 / 207,1 / 14,15 / 221
Santa Rosa,0.1,0.1,0.32461144993114305,1.0891089108910892,0.0006060606060606061,0.0008748906386701663,,,0.029411764705882353,0 / 0,0 / 0,1 / 34
Saratoga,,,0.18906605922551253,0.3074074074074074,0.0,0.0,0.0,,0.0,0 / 8,0 / 0,0 / 14
Sausalito,0.5,0.5,0.25316455696202533,0.11173184357541899,0.05,0.047619047619047616,0.0,0.0,0.011494252873563218,0 / 60,0 / 27,1 / 87
Sebastopol,0.75,0.6666666666666666,0.225,0.08681672025723473,0.07407407407407407,0.07142857142857142,,0.044444444444444446,0.04081632653061224,0 / 0,2 / 45,2 / 49
Sonoma,0.10256410256410256,0.10256410256410256,0.8102189781021898,0.14415584415584415,0.036036036036036036,0.043478260869565216,0.0,0.2,0.043478260869565216,0 / 13,1 / 5,1 / 23
South San Francisco,5.787664838370872,3.618320610687023,0.5815450643776824,0.5002307337332718,0.43726937269372695,0.14285714285714285,0.12,0.1,0.14285714285714285,3 / 25,1 / 10,5 / 35
Suisun City,,,0.16435643564356436,0.2213923712990131,0.0,0.0,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
Sunnyvale,0.750873884934055,0.8096280087527352,0.46129860601614087,0.07737509229633276,0.441351888667992,0.22456140350877193,0.06506849315068493,0.0,0.06333333333333334,19 / 292,0 / 5,19 / 300
Tiburon,,,0.24358974358974358,0.3877551020408163,0.0,0.0,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
Union City,0.8,0.6521739130434783,0.38517179023508136,0.4298688193743693,0.07042253521126761,0.019230769230769232,0.16666666666666666,0.06666666666666667,0.05714285714285714,1 / 6,1 / 15,2 / 35
Vacaville,0.6644453453357342,0.5011904761904762,1.5156826568265682,0.30857241591730333,0.31953743152769326,0.2865347798340779,0.0,0.11428571428571428,0.07692307692307693,0 / 44,8 / 70,10 / 130
Vallejo,1.25,1.0,0.17914831130690162,0.09434071691212008,0.02459016393442623,0.022222222222222223,,0.006666666666666667,0.009933774834437087,0 / 0,2 / 300,3 / 302
Walnut Creek,1.4235294117647057,1.380952380952381,0.5342281879194631,0.779373368146214,0.048576214405360134,0.00881057268722467,0.008264462809917356,0.5,0.016129032258064516,1 / 121,1 / 2,2 / 124
Windsor,,,0.42954545454545456,0.15278900565885206,0.09523809523809523,0.2903225806451613,0.0,0.0,0.19607843137254902,0 / 3,0 / 4,10 / 51
Woodside,,,1.0483870967741935,0.23897058823529413,0.12307692307692308,0.12121212121212122,,0.02631578947368421,0.02631578947368421,0 / 0,7 / 266,7 / 266
Yountville,0.5,0.5,0.5882352941176471,0.14084507042253522,0.1,0.1,0.0,0.1111111111111111,0.07142857142857142,0 / 5,1 / 9,1 / 14
Overall,2.3653763155105985,1.0075908812312635,0.6493270918665887,0.4703475022725347,0.27989546724339914,0.1684694585839889,0.03876765083440308,0.059582542694497156,0.05828571428571429,302 / 7790,314 / 5270,918 / 15750
