City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Calistoga,86.0,2.727272727272727,2.727272727272727,3.185185185185185,0.20187793427230047,0.37209302325581395,0.07894736842105263,0.0,0.06666666666666667,0.09375,0 / 2,1 / 15,3 / 32
Campbell,413.0,4.888888888888888,5.0,0.44265809217577706,0.3619631901840491,0.1089588377723971,0.1,0.027522935779816515,0.0,0.023622047244094488,3 / 109,0 / 12,3 / 127
Clayton,10.0,0.022727272727272728,0.022727272727272728,0.07092198581560284,0.03816793893129771,0.1,0.09090909090909091,0.09090909090909091,0.0,0.043478260869565216,1 / 11,0 / 8,1 / 23
Cloverdale,114.0,1.3047619047619048,1.8571428571428572,0.5402843601895735,0.20577617328519857,0.34210526315789475,0.20512820512820512,0.0,0.2413793103448276,0.11290322580645161,0 / 11,7 / 29,7 / 62
Colma,75.0,2.5384615384615383,2.5384615384615383,1.271186440677966,2.8846153846153846,0.88,0.08333333333333333,,,1.0,0 / 0,0 / 0,1 / 1
Concord,225.0,0.5388888888888889,0.3333333333333333,0.06469235192639448,0.05660377358490566,0.04888888888888889,0.12578616352201258,0.020833333333333332,0.1282051282051282,0.04336043360433604,2 / 96,10 / 78,16 / 369
Corte Madera,33.0,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,80.0,,,0.583941605839416,0.09019165727170236,0.5125,0.5942028985507246,0.0,0.0,0.38823529411764707,0 / 7,0 / 31,33 / 85
Cupertino,263.0,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28
Daly City,710.0,4.12,4.12,0.5259259259259259,1.3421550094517958,0.3732394366197183,0.12345679012345678,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44
Danville,545.0,1.5440019665683382,2.3435114503816794,0.9784560143626571,0.6646341463414634,0.5688073394495413,0.10121457489878542,0.12,0.0,0.05952380952380952,3 / 25,0 / 12,5 / 84
Dixon,185.0,,,0.9390862944162437,0.18743667679837892,0.0,0.0,0.0,0.0,0.0,0 / 2,0 / 11,0 / 19
