City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Danville,545.0,0.9887229596853491,1.9823529411764707,0.9784560143626571,0.6646341463414634,0.708256880733945,0.3522267206477733,0.24,0.0,0.15476190476190477,6 / 25,0 / 12,13 / 84
Dixon,185.0,0.35532334114184777,0.25203252032520324,0.9390862944162437,0.18743667679837892,0.41081081081081083,0.40860215053763443,0.0,0.36363636363636365,0.3157894736842105,0 / 2,4 / 11,6 / 19
Dublin,3745.0,0.968013468013468,0.3179190751445087,1.6389496717724288,1.1393367812595072,0.014953271028037384,0.0021413276231263384,0.037037037037037035,0.08333333333333333,0.05128205128205128,2 / 54,2 / 24,4 / 78
East Palo Alto,92.0,0.0665266106442577,0.061919504643962855,0.19700214132762311,0.30882846592816376,0.021739130434782608,0.037037037037037035,0.07407407407407407,0.0,0.05128205128205128,2 / 27,0 / 8,2 / 39
El Cerrito,369.0,,,0.9271356783919598,0.41045606229143494,0.01084010840108401,0.0547945205479452,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
Emeryville,499.0,,,0.33311081441922563,0.16556071665560718,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,82.0,1.35,1.35,1.3442622950819672,0.5694444444444444,0.6585365853658537,0.034482758620689655,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52
Fairfield,1731.0,0.25333333333333335,0.25333333333333335,0.5583870967741935,0.2697522206638616,0.0439052570768342,0.05244996549344375,0.0,0.012987012987012988,0.011627906976744186,0 / 2,1 / 77,1 / 86
Fremont,5892.0,0.8802482391785805,0.9406740523478188,1.0801099908340972,0.857354009214051,0.19534962661235575,0.07819548872180451,0.0851063829787234,0.09523809523809523,0.08641975308641975,12 / 141,2 / 21,14 / 162
Gilroy,1406.0,0.05714285714285714,0.05714285714285714,1.2922794117647058,2.2037617554858935,0.12091038406827881,0.16983016983016982,0.0,0.2,0.20512820512820512,0 / 3,1 / 5,8 / 39
Half Moon Bay,57.0,0.9152666666666667,0.14285714285714285,0.2375,0.058762886597938144,0.5964912280701754,0.59375,0.08333333333333333,0.0764525993883792,0.04468412942989214,1 / 12,25 / 327,29 / 649
Hayward,2006.0,0.5689630713646155,0.525096525096525,0.511734693877551,0.6700066800267201,0.2642073778664008,0.36091954022988504,0.17543859649122806,0.07894736842105263,0.1092896174863388,10 / 57,3 / 38,20 / 183
Healdsburg,241.0,0.23476390556222487,0.17307692307692307,1.535031847133758,0.49284253578732107,0.03734439834024896,0.05172413793103448,0.09523809523809523,0.1388888888888889,0.11666666666666667,2 / 21,5 / 36,7 / 60
Hercules,739.0,,,1.0835777126099706,0.2716911764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,313.0,0.875,0.972972972972973,0.7825,0.4960380348652932,0.23003194888178913,0.07216494845360824,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
Larkspur,20.0,,,0.15151515151515152,0.2564102564102564,0.05,0.058823529411764705,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,1896.0,1.2708212259993943,0.8535031847133758,0.6947599853426163,0.5489287782281412,0.5896624472573839,0.5823451910408433,0.09574468085106383,0.2524271844660194,0.17326732673267325,9 / 94,26 / 103,35 / 202
Los Altos,313.0,1.0625,0.8333333333333334,0.6561844863731656,1.2155339805825243,0.04792332268370607,0.04608294930875576,0.029411764705882353,0.30434782608695654,0.14035087719298245,1 / 34,7 / 23,8 / 57
Los Altos Hills,114.0,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.20175438596491227,0.2,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139
Los Gatos,119.0,,,0.19224555735056542,0.14968553459119496,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,70.0,0.8314130434782608,0.3627450980392157,0.14925373134328357,0.05098324836125273,0.5285714285714286,0.3888888888888889,0.0,0.03319502074688797,0.0299625468164794,0 / 26,8 / 241,8 / 267
