City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,Units permitted via BPS / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,"P(inventory) for BMR units, 100% AH projects only",# 100% AH matches / # 100% AH BMR permits,P(inventory) for BMR units,# BMR units matched / # BMR units,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Healdsburg,241.0,0.12941176470588237,0.09090909090909091,1.535031847133758,0.49284253578732107,0.35787321063394684,0.008298755186721992,0.011494252873563218,0.0,0 / 4,0.0,0 / 74,0.047619047619047616,0.027777777777777776,0.03333333333333333,1 / 21,1 / 36,2 / 60
Hercules,739.0,,,1.0835777126099706,0.2716911764705882,0.09338235294117647,0.0,0.0,,0 / 0,,0.0 / 0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,313.0,0.5625,0.9054054054054054,0.7825,0.4960380348652932,,0.21405750798722045,0.020618556701030927,,0 / 0,0.375,6 / 16,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
Larkspur,20.0,,,0.15151515151515152,0.2564102564102564,0.358974358974359,0.05,0.058823529411764705,,0 / 0,,0.0 / 0.0,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,1896.0,0.9499063042050656,1.037156704361874,0.6947599853426163,0.5489287782281412,0.45136074116965835,0.569620253164557,0.544137022397892,1.0,1 / 1,0.9807692307692307,306 / 312,0.06382978723404255,0.21359223300970873,0.13861386138613863,6 / 94,22 / 103,28 / 202
Los Altos,313.0,0.9,0.7333333333333333,0.6561844863731656,1.2155339805825243,1.0135922330097087,0.03514376996805112,0.027649769585253458,,0 / 0,0.0,0 / 4,0.029411764705882353,0.17391304347826086,0.08771929824561403,1 / 34,4 / 23,5 / 57
Los Altos Hills,114.0,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.37359550561797755,0.20175438596491227,0.2,,0 / 0,,0.0 / 0.0,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139
Los Gatos,119.0,,,0.19224555735056542,0.14968553459119496,0.20754716981132076,0.0,0.0,,0 / 0,,0.0 / 0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,70.0,0.8073291925465839,0.3564356435643564,0.14925373134328357,0.05098324836125273,0.06627822286962855,0.5142857142857142,0.37037037037037035,,0 / 0,,0.0 / 0.0,0.0,0.029045643153526972,0.026217228464419477,0 / 26,7 / 241,7 / 267
Menlo Park,1089.0,3.5462903154802277,2.4381381412462697,1.6625954198473283,0.584092440588465,0.6211010525265771,0.3948576675849403,0.17721518987341772,1.0,1 / 1,0.4583333333333333,88 / 192,0.057692307692307696,0.05405405405405406,0.05714285714285714,12 / 208,2 / 37,14 / 245
Mill Valley,83.0,1.0,1.0,0.6434108527131783,0.43005181347150256,0.49222797927461137,0.012048192771084338,0.012048192771084338,,0 / 0,,0.0 / 0.0,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56
Millbrae,18.0,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,,0 / 0,,0.0 / 0.0,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132
Milpitas,2019.0,0.40782085129696016,0.279665446941976,0.613677811550152,0.2517456359102244,0.4123441396508728,0.849925705794948,0.4537037037037037,,0 / 0,1.0,20 / 20,0.2222222222222222,0.0,0.08771929824561403,4 / 18,0 / 7,15 / 171
Monte Sereno,42.0,,,0.6885245901639344,1.2727272727272727,1.1515151515151516,0.0,0.0,,0 / 0,,0.0 / 0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6
Moraga,78.0,0.8,0.8,0.3406113537117904,0.094316807738815,,0.05128205128205128,0.018867924528301886,,0 / 0,,0.0 / 0.0,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41
Morgan Hill,1779.0,1.6710599600385407,0.7008547008547008,1.9170258620689655,1.3790697674418604,1.3372093023255813,0.2304665542439573,0.23597122302158274,0.0,0 / 2,0.0,0 / 396,,0.2125,0.2125,0 / 0,17 / 80,17 / 80
Mountain View,2883.0,8.216462258543585,1.19960668633235,0.9853041695146958,0.8964552238805971,0.9909825870646766,0.4738120013874436,0.3918918918918919,0.0,0 / 2,0.19325153374233128,126 / 652,0.2,0.2857142857142857,0.12903225806451613,5 / 25,2 / 7,12 / 93
Napa,955.0,1.1263413057530705,1.2777777777777777,1.1437125748502994,0.6744350282485876,0.731638418079096,0.21675392670157068,0.20623501199040767,,0 / 0,0.06818181818181818,12 / 176,0.08108108108108109,0.09523809523809523,0.0707070707070707,3 / 37,4 / 42,7 / 99
Newark,1183.0,0.572086349907158,0.3864628820960699,1.0974025974025974,0.7231051344743277,1.2078239608801955,0.9822485207100592,0.9811659192825112,,0 / 0,,0.0 / 0.0,0.1111111111111111,0.25,0.16312056737588654,1 / 9,1 / 4,23 / 141
Novato,236.0,3.2777777777777777,5.1,0.5686746987951807,0.3913764510779436,0.8109452736318408,0.21610169491525424,0.025974025974025976,0.0,0 / 1,0.17857142857142858,10 / 56,,,0.029411764705882353,0 / 0,0 / 0,2 / 68
Oakland,19016.0,2.719362006197043,1.6868076535750252,1.2879105993904505,1.7826942908034125,1.1622761788694103,0.2502103491796382,0.029239766081871343,0.0,0 / 2,0.11299000768639508,294 / 2602,,,0.07246376811594203,0 / 0,0 / 0,25 / 345
Oakley,1226.0,0.1,0.1,1.0496575342465753,2.9902439024390244,2.7756097560975608,0.00734094616639478,0.00779896013864818,0.0,0 / 1,0.0,0 / 148,0.0,1.0,0.14285714285714285,0 / 6,1 / 1,1 / 7
Pacifica,84.0,,,0.2033898305084746,0.1935483870967742,0.0967741935483871,0.0,0.0,,0 / 0,,0.0 / 0.0,0.0,0.0,0.0,0 / 18,0 / 9,0 / 43
Palo Alto,506.0,0.8083333333333332,0.8709677419354839,0.2545271629778672,0.3121529919802591,0.45157310302282544,0.0533596837944664,0.025477707006369428,0.0,0 / 2,0.025,4 / 160,0.01818181818181818,0.0,0.01775147928994083,3 / 165,0 / 4,3 / 169
Petaluma,714.0,0.5162698412698413,0.6199376947040498,0.9583892617449664,0.20266818052795912,0.15242690888447347,0.30952380952380953,0.11627906976744186,,0 / 0,0.0,0 / 54,,,0.08139534883720931,0 / 0,0 / 0,7 / 86
Piedmont,42.0,1.0,1.0,0.7,0.711864406779661,0.1864406779661017,0.023809523809523808,0.015625,,0 / 0,,0.0 / 0.0,,0.017241379310344827,0.017241379310344827,0 / 0,1 / 58,1 / 58
Pinole,13.0,1.0,1.0,0.04377104377104377,0.026530612244897958,0.00816326530612245,0.07692307692307693,0.07142857142857142,,0 / 0,,0.0 / 0.0,0.0,0.03225806451612903,0.016666666666666666,0 / 4,1 / 31,1 / 60
Pittsburg,1658.0,0.6211379882922436,0.11688311688311688,0.8187654320987654,0.338989981598855,0.23594356982212228,0.037997587454764774,0.011475409836065573,,0 / 0,0.006507592190889371,6 / 922,0.0,0.23529411764705882,0.14285714285714285,0 / 7,4 / 17,4 / 28
Pleasant Hill,156.0,,,0.3482142857142857,0.3305084745762712,0.1440677966101695,0.00641025641025641,0.007246376811594203,,0 / 0,0.0,0 / 38,,,0.034482758620689655,0 / 0,0 / 0,1 / 29
Pleasanton,1617.0,0.8180162463168709,0.8552941176470589,0.7822931785195936,0.5162835249042146,0.5644955300127714,0.45701917130488556,0.21140142517814728,0.04316546762589928,1 / 12,0.15584415584415584,96 / 616,0.25,0.3103448275862069,0.22058823529411764,3 / 12,9 / 29,15 / 68
Portola Valley,65.0,1.2857142857142858,1.2857142857142858,1.015625,0.48148148148148145,0.3111111111111111,0.18461538461538463,0.2,,0 / 0,,0.0 / 0.0,,0.09210526315789473,0.11538461538461539,0 / 0,7 / 76,9 / 78
Redwood City,1765.0,2.4,2.4,0.6328433130154177,0.5295529552955296,0.30873087308730873,0.013597733711048159,0.0136986301369863,,0 / 0,0.0,0 / 332,0.0,0.07692307692307693,0.017857142857142856,0 / 15,1 / 13,1 / 56
Richmond,846.0,0.6723422554069179,0.616316085686824,0.34743326488706366,0.3970222718145361,0.3388298820923109,0.002364066193853428,0.007462686567164179,,0 / 0,0.0,0 / 694,,0.008968609865470852,0.008968609865470852,0 / 0,2 / 223,2 / 223
Rio Vista,380.0,0.5567765567765568,0.5567765567765568,1.2709030100334449,0.07535197303192544,0.17251635930993456,0.4,0.39790575916230364,,0 / 0,,0.0 / 0.0,,0.043478260869565216,0.043478260869565216,0 / 0,1 / 23,1 / 23
Rohnert Park,1272.0,,,1.4149054505005563,4.184210526315789,2.8651315789473686,0.07075471698113207,0.0014184397163120568,,0 / 0,0.03111111111111111,14 / 450,0.0,0.0,0.02857142857142857,0 / 3,0 / 1,1 / 35
Ross,16.0,,,0.8888888888888888,0.36363636363636365,0.11363636363636363,0.0,0.0,,0 / 0,0.0,0 / 2,0.0,0.0,0.0,0 / 8,0 / 11,0 / 25
San Anselmo,69.0,1.0,1.0,0.6509433962264151,0.21428571428571427,0.09937888198757763,0.3333333333333333,0.20512820512820512,,0 / 0,0.5,4 / 8,0.043478260869565216,,0.053691275167785234,1 / 23,0 / 0,8 / 149
San Bruno,248.0,,,0.21471861471861473,0.4601113172541744,0.29313543599257885,0.0,0.0,0.0,0 / 1,0.0,0 / 12,0.0,,0.0,0 / 6,0 / 0,0 / 6
San Carlos,511.0,2.0277777777777777,1.5777777777777777,0.8573825503355704,0.3634423897581792,0.2709815078236131,0.13894324853228962,0.2465753424657534,,0 / 0,0.11764705882352941,4 / 34,0.022292993630573247,0.05405405405405406,0.02564102564102564,7 / 314,2 / 37,9 / 351
San Francisco,22225.0,2.7201803342342337,1.9868981329839501,0.7698569399702102,0.47077887690906395,0.42712194708636064,0.2729358830146232,0.14631463146314633,0.0,0 / 7,0.2508952017187873,2102 / 8378,0.0421455938697318,0.04929051530993279,0.04396650171298059,165 / 3915,66 / 1339,231 / 5254
San Jose,12602.0,0.9103893957012641,0.7408045977011494,0.35923603192702397,0.5560745251060897,0.5457931916392019,0.3068560545945088,0.22798487304159915,,0 / 0,0.5245901639344263,896 / 1708,0.08130081300813008,0.08,0.08064516129032258,20 / 246,20 / 250,40 / 496
San Leandro,138.0,0.8333333333333333,0.7142857142857143,0.06034105815478793,0.06920762286860582,0.06469408224674023,0.036231884057971016,0.10204081632653061,,0 / 0,0.0,0 / 168,0.0,0.058823529411764705,0.014285714285714285,0 / 53,2 / 34,2 / 140
San Mateo,1504.0,1.3202495654746857,0.9475308641975309,0.48516129032258065,0.354226052896032,0.3551681434622448,0.5405585106382979,0.07407407407407407,,0 / 0,0.31446540880503143,100 / 318,0.06666666666666667,0.1,0.06382978723404255,2 / 30,3 / 30,6 / 94
San Pablo,53.0,1.0,1.0,0.11804008908685969,0.06892067620286085,0.10533159947984395,0.018867924528301886,0.03125,,0 / 0,,0.0 / 0.0,0.0,0.02631578947368421,0.008,0 / 62,1 / 38,1 / 125
San Rafael,221.0,0.1671511627906977,0.1791044776119403,0.21946375372393248,0.42015209125475284,0.16920152091254753,0.06787330316742081,0.06666666666666667,,0 / 0,0.0,0 / 8,0.125,0.058823529411764705,0.057971014492753624,1 / 8,1 / 17,4 / 69
San Ramon,1719.0,0.8571428571428571,0.8571428571428571,1.2131263232180662,0.39059304703476483,0.08588957055214724,0.017452006980802792,0.014350453172205438,0.0,0 / 2,0.0,0 / 204,0.0,0.0,0.010526315789473684,0 / 30,0 / 4,2 / 190
Santa Clara,4125.0,2.1885782513440315,1.284431137724551,1.0078182262399218,0.6523801992724972,0.6443144077178554,0.208,0.1908713692946058,,0 / 0,1.0,290 / 290,0.05314009661835749,0.07142857142857142,0.05429864253393665,11 / 207,1 / 14,12 / 221
Santa Rosa,1650.0,,,0.32461144993114305,1.0891089108910892,2.3735973597359736,0.0,0.0,0.0,0 / 2,0.0,0 / 180,,,0.0,0 / 0,0 / 0,0 / 34
Saratoga,83.0,,,0.18906605922551253,0.3074074074074074,0.5370370370370371,0.0,0.0,,0 / 0,,0.0 / 0.0,0.0,,0.0,0 / 8,0 / 0,0 / 14
Sausalito,20.0,0.5,0.5,0.25316455696202533,0.11173184357541899,0.061452513966480445,0.05,0.047619047619047616,,0 / 0,,0.0 / 0.0,0.016666666666666666,0.0,0.011494252873563218,1 / 60,0 / 27,1 / 87
Sebastopol,27.0,0.75,0.6666666666666666,0.225,0.08681672025723473,0.11254019292604502,0.07407407407407407,0.07142857142857142,,0 / 0,,0.0 / 0.0,,0.044444444444444446,0.04081632653061224,0 / 0,2 / 45,2 / 49
Sonoma,111.0,0.10256410256410256,0.10256410256410256,0.8102189781021898,0.14415584415584415,0.22857142857142856,0.036036036036036036,0.043478260869565216,,0 / 0,0.0,0 / 4,0.0,0.2,0.043478260869565216,0 / 13,1 / 5,1 / 23
South San Francisco,1084.0,5.787664838370872,3.618320610687023,0.5815450643776824,0.5002307337332718,0.36963544070143056,0.43726937269372695,0.14285714285714285,,0 / 0,0.98,196 / 200,0.12,0.2,0.14285714285714285,3 / 25,2 / 10,5 / 35
Suisun City,83.0,,,0.16435643564356436,0.2213923712990131,0.245398773006135,0.0,0.0,,0 / 0,,0.0 / 0.0,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
Sunnyvale,2515.0,0.750873884934055,0.8096280087527352,0.46129860601614087,0.07737509229633276,0.0946652719665272,0.441351888667992,0.22456140350877193,1.0,1 / 1,0.835820895522388,224 / 268,0.06506849315068493,0.0,0.06333333333333334,19 / 292,0 / 5,19 / 300
Tiburon,19.0,,,0.24358974358974358,0.3877551020408163,0.3469387755102041,0.0,0.0,,0 / 0,,0.0 / 0.0,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
Union City,426.0,0.8,0.6521739130434783,0.38517179023508136,0.4298688193743693,0.425832492431887,0.07042253521126761,0.019230769230769232,,0 / 0,,0.0 / 0.0,0.16666666666666666,0.06666666666666667,0.05714285714285714,1 / 6,1 / 15,2 / 35
Vacaville,1643.0,0.6644453453357342,0.5011904761904762,1.5156826568265682,0.30857241591730333,0.3072577434210032,0.31953743152769326,0.2865347798340779,1.0,1 / 1,1.0,152 / 152,0.0,0.11428571428571428,0.07692307692307693,0 / 44,8 / 70,10 / 130
Vallejo,244.0,1.25,1.0,0.17914831130690162,0.09434071691212008,0.08274144843931842,0.02459016393442623,0.022222222222222223,,0 / 0,,0.0 / 0.0,,0.01,0.009933774834437087,0 / 0,3 / 300,3 / 302
Walnut Creek,1194.0,1.4235294117647057,1.380952380952381,0.5342281879194631,0.779373368146214,0.7030026109660574,0.048576214405360134,0.00881057268722467,1.0,2 / 2,0.5631067961165048,116 / 206,0.008264462809917356,0.5,0.016129032258064516,1 / 121,1 / 2,2 / 124
Windsor,189.0,,,0.42954545454545456,0.15278900565885206,0.12045270816491511,0.09523809523809523,0.2903225806451613,,0 / 0,0.0,0 / 118,0.0,0.0,0.19607843137254902,0 / 3,0 / 4,10 / 51
Woodside,65.0,,,1.0483870967741935,0.23897058823529413,0.15808823529411764,0.06153846153846154,0.06060606060606061,,0 / 0,,0.0 / 0.0,,0.015037593984962405,0.015037593984962405,0 / 0,4 / 266,4 / 266
Yountville,10.0,0.5,0.5,0.5882352941176471,0.14084507042253522,0.16901408450704225,0.1,0.1,,0 / 0,,0.0 / 0.0,0.0,0.1111111111111111,0.07142857142857142,0 / 5,1 / 9,1 / 14
Overall,122067.0,1.9301609579204484,1.0032498244999708,0.6493270918665887,0.4703475022725347,,0.2585301514741904,0.16219342896807035,0.16305970149253732,8 / 57,0.23564196030781692,5818 / 24690,0.04403080872913992,0.05578747628083491,0.052253968253968254,343 / 7790,294 / 5270,823 / 15750
