City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,Units permitted via BPS / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(inventory) for BMR units,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,1161.0,0.7049487470694806,0.5932055749128919,0.67382472431805,0.5171492204899777,0.46369710467706016,0.58656330749354,0.06766917293233082,0.3855421686746988,0.2857142857142857,0.2727272727272727,0.2777777777777778,2 / 7,3 / 11,5 / 18
Albany,258.0,0.5416666666666666,0.9411764705882353,0.7701492537313432,0.6339066339066339,0.5257985257985258,0.7403100775193798,0.16455696202531644,,0.058823529411764705,0.125,0.07317073170731707,1 / 17,1 / 8,3 / 41
American Canyon,382.0,,,0.9744897959183674,0.6571025561633467,0.4007981559844497,0.0,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,607.0,,,0.4191988950276243,0.33169398907103825,0.37759562841530053,0.0,0.0,,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,101.0,0.8333333333333334,0.75,1.086021505376344,0.5401069518716578,0.7433155080213903,0.0297029702970297,0.029411764705882353,,0.041666666666666664,,0.041666666666666664,3 / 72,0 / 0,3 / 72
Belmont,149.0,1.0035211267605635,1.0256410256410255,0.31837606837606836,0.2933070866141732,0.18700787401574803,0.7516778523489933,0.1956521739130435,,0.09090909090909091,0.1320754716981132,0.07964601769911504,1 / 11,7 / 53,9 / 113
Belvedere,4.0,,,0.25,0.23529411764705882,1.0,0.0,0.0,,,0.0,0.0,0 / 0,0 / 17,0 / 17
Benicia,22.0,0.7625522993491294,0.777000777000777,0.0672782874617737,0.03669541140560105,0.03669541140560105,0.45454545454545453,0.45454545454545453,,,0.061224489795918366,0.06060606060606061,0 / 0,6 / 98,6 / 99
Berkeley,1594.0,3.289267815986591,4.973531946325249,0.5386955052382562,0.2967226480914069,0.26675254373587587,0.2534504391468005,0.042682926829268296,0.0,0.023952095808383235,0.02531645569620253,0.024752475247524754,4 / 167,6 / 237,10 / 404
Brentwood,2312.0,1.461188786509933,1.0880503144654088,3.042105263157895,2.1348107109879964,2.0295475530932596,0.13538062283737023,0.1371603856266433,,0.04,0.10303030303030303,0.09473684210526316,1 / 25,17 / 165,18 / 190
Brisbane,41.0,1.4138888888888888,0.9333333333333333,0.4939759036144578,0.05401844532279315,0.03689064558629776,0.6829268292682927,0.8235294117647058,,0.036065573770491806,0.06140350877192982,0.04295942720763723,11 / 305,7 / 114,18 / 419
Burlingame,474.0,3.421973244147158,2.8120805369127515,0.5492468134414832,0.4121739130434783,0.42782608695652175,0.8945147679324894,0.12727272727272726,,0.06756756756756757,,0.07894736842105263,5 / 74,0 / 0,6 / 76
Calistoga,86.0,1.5340909090909092,2.1333333333333333,3.185185185185185,0.20187793427230047,0.12441314553990611,0.3953488372093023,0.13157894736842105,1.0,0.5,0.06666666666666667,0.125,1 / 2,1 / 15,4 / 32
Campbell,413.0,2.0780800653594773,2.108695652173913,0.44265809217577706,0.3619631901840491,0.4075372480280456,0.7046004842615012,0.24,,0.11926605504587157,0.16666666666666666,0.11811023622047244,13 / 109,2 / 12,15 / 127
Clayton,10.0,0.5113636363636364,0.14,0.07092198581560284,0.03816793893129771,,0.7,0.6363636363636364,,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,114.0,0.8686956521739131,0.782608695652174,0.5402843601895735,0.20577617328519857,0.06859205776173286,0.3157894736842105,0.1282051282051282,,0.18181818181818182,0.10344827586206896,0.08064516129032258,2 / 11,3 / 29,5 / 62
Colma,75.0,,,1.271186440677966,2.8846153846153846,0.3076923076923077,0.0,0.0,,,,0.0,0 / 0,0 / 0,0 / 1
Concord,225.0,0.6605442176870747,0.38461538461538464,0.06469235192639448,0.05660377358490566,0.08880503144654088,0.20444444444444446,0.2830188679245283,,0.041666666666666664,0.1282051282051282,0.07588075880758807,4 / 96,10 / 78,28 / 369
Corte Madera,33.0,1.0,1.0,0.4583333333333333,0.5409836065573771,0.0,0.5454545454545454,0.16666666666666666,,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,80.0,,,0.583941605839416,0.09019165727170236,0.05186020293122886,0.6,0.5362318840579711,,0.0,0.0,0.4235294117647059,0 / 7,0 / 31,36 / 85
Cupertino,263.0,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.2742138364779874,0.07604562737642585,0.018867924528301886,,,,0.07142857142857142,0 / 0,0 / 0,2 / 28
Daly City,710.0,4.12,4.12,0.5259259259259259,1.3421550094517958,1.1474480151228734,0.39436619718309857,0.15432098765432098,1.0,0.0,0.16666666666666666,0.20454545454545456,0 / 7,1 / 6,9 / 44
Danville,545.0,0.9887229596853491,1.9823529411764707,0.9784560143626571,0.6646341463414634,0.37317073170731707,0.708256880733945,0.3522267206477733,,0.24,0.0,0.15476190476190477,6 / 25,0 / 12,13 / 84
Dixon,185.0,0.35532334114184777,0.25203252032520324,0.9390862944162437,0.18743667679837892,0.5430597771023303,0.41621621621621624,0.41397849462365593,,0.0,0.36363636363636365,0.3157894736842105,0 / 2,4 / 11,6 / 19
Dublin,3745.0,0.9986111111111112,0.44155844155844154,1.6389496717724288,1.1393367812595072,1.138728323699422,0.022963951935914554,0.007280513918629551,0.0,0.037037037037037035,0.08333333333333333,0.05128205128205128,2 / 54,2 / 24,4 / 78
East Palo Alto,92.0,0.15056022408963585,0.12383900928792571,0.19700214132762311,0.30882846592816376,0.22490768714333667,0.043478260869565216,0.07407407407407407,,0.07407407407407407,0.0,0.05128205128205128,2 / 27,0 / 8,2 / 39
El Cerrito,369.0,,,0.9271356783919598,0.41045606229143494,0.3470522803114572,0.016260162601626018,0.0821917808219178,,0.0,0.06493506493506493,0.05042016806722689,0 / 6,5 / 77,6 / 119
Emeryville,499.0,,,0.33311081441922563,0.16556071665560718,0.1267418712674187,0.0,0.0,,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,82.0,1.35,1.35,1.3442622950819672,0.5694444444444444,0.027777777777777776,0.6585365853658537,0.034482758620689655,,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52
Fairfield,1731.0,0.9616666666666667,0.2706270627062706,0.5583870967741935,0.2697522206638616,0.29063425276609006,0.04737146158290006,0.05659075224292615,,0.0,0.012987012987012988,0.023255813953488372,0 / 2,1 / 77,2 / 86
Fremont,5892.0,0.942299597240308,1.0433930064076276,1.0801099908340972,0.857354009214051,0.8935863833305309,0.19653767820773932,0.08345864661654136,0.0,0.0851063829787234,0.047619047619047616,0.08024691358024691,12 / 141,1 / 21,13 / 162
Gilroy,1406.0,0.05714285714285714,0.05714285714285714,1.2922794117647058,2.2037617554858935,4.001567398119122,0.12731152204836416,0.17882117882117882,0.0,0.0,0.2,0.20512820512820512,0 / 3,1 / 5,8 / 39
Half Moon Bay,57.0,0.9191499999999999,0.15151515151515152,0.2375,0.058762886597938144,0.19278350515463918,0.543859649122807,0.5,,0.08333333333333333,0.06116207951070336,0.03697996918335902,1 / 12,20 / 327,24 / 649
Hayward,2006.0,0.5710865191212681,0.523719165085389,0.511734693877551,0.6700066800267201,0.9432197728790915,0.27018943170488535,0.3701149425287356,,0.19298245614035087,0.07894736842105263,0.12021857923497267,11 / 57,3 / 38,22 / 183
Healdsburg,241.0,0.4253361344537815,0.2857142857142857,1.535031847133758,0.49284253578732107,0.35787321063394684,0.04979253112033195,0.028735632183908046,0.11764705882352941,0.09523809523809523,0.08333333333333333,0.08333333333333333,2 / 21,3 / 36,5 / 60
Hercules,739.0,0.0035919540229885057,0.0035919540229885057,1.0835777126099706,0.2716911764705882,0.09338235294117647,0.006765899864682003,0.03333333333333333,,,0.07142857142857142,0.07142857142857142,0 / 0,1 / 14,1 / 14
Lafayette,313.0,0.5625,0.9054054054054054,0.7825,0.4960380348652932,,0.2715654952076677,0.030927835051546393,,0.0625,0.3333333333333333,0.041666666666666664,1 / 16,1 / 3,3 / 72
Larkspur,20.0,,,0.15151515151515152,0.2564102564102564,0.358974358974359,0.05,0.058823529411764705,,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,1896.0,0.9332530226519611,1.0336,0.6947599853426163,0.5489287782281412,0.45136074116965835,0.5775316455696202,0.5533596837944664,1.0,0.07446808510638298,0.24271844660194175,0.15841584158415842,7 / 94,25 / 103,32 / 202
Los Altos,313.0,1.0714285714285714,0.8235294117647058,0.6561844863731656,1.2155339805825243,1.0135922330097087,0.04472843450479233,0.041474654377880185,,0.029411764705882353,0.2608695652173913,0.12280701754385964,1 / 34,6 / 23,7 / 57
Los Altos Hills,114.0,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.37359550561797755,0.20175438596491227,0.2,,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139
Los Gatos,119.0,,,0.19224555735056542,0.14968553459119496,0.20754716981132076,0.0,0.0,,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,70.0,0.7220380434782608,0.3394495412844037,0.14925373134328357,0.05098324836125273,0.06627822286962855,0.5285714285714286,0.3888888888888889,,0.0,0.03319502074688797,0.0299625468164794,0 / 26,8 / 241,8 / 267
Menlo Park,1089.0,4.275514120808962,4.14970379079809,1.6625954198473283,0.584092440588465,0.6211010525265771,0.7603305785123967,0.21518987341772153,1.0,0.0673076923076923,0.08108108108108109,0.06938775510204082,14 / 208,3 / 37,17 / 245
Mill Valley,83.0,1.0,1.0,0.6434108527131783,0.43005181347150256,0.49222797927461137,0.024096385542168676,0.024096385542168676,,0.0,0.06666666666666667,0.03571428571428571,0 / 25,2 / 30,2 / 56
Millbrae,18.0,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132
Milpitas,2019.0,0.3677910311246749,0.24629468177855274,0.613677811550152,0.2517456359102244,0.4123441396508728,0.8692421991084696,0.5,,0.2222222222222222,0.0,0.09941520467836257,4 / 18,0 / 7,17 / 171
Monte Sereno,42.0,,,0.6885245901639344,1.2727272727272727,1.1515151515151516,0.0,0.0,,0.0,,0.0,0 / 5,0 / 0,0 / 6
Moraga,78.0,0.47692307692307695,0.21052631578947367,0.3406113537117904,0.094316807738815,,0.16666666666666666,0.18867924528301888,,0.0,0.058823529411764705,0.07317073170731707,0 / 1,2 / 34,3 / 41
Morgan Hill,1779.0,1.4049778351872293,0.5969738651994498,1.9170258620689655,1.3790697674418604,1.3372093023255813,0.24395727937043282,0.25323741007194245,0.0,,0.2625,0.2625,0 / 0,21 / 80,21 / 80
Mountain View,2883.0,7.526329325948714,1.1951219512195121,0.9853041695146958,0.8964552238805971,0.9909825870646766,0.4755463059313215,0.4015444015444015,0.0,0.2,0.2857142857142857,0.13978494623655913,5 / 25,2 / 7,13 / 93
Napa,955.0,0.9105381873028932,1.0761421319796953,1.1437125748502994,0.6744350282485876,0.731638418079096,0.22198952879581152,0.2182254196642686,,0.10810810810810811,0.11904761904761904,0.09090909090909091,4 / 37,5 / 42,9 / 99
Newark,1183.0,0.45999466132107525,0.3272058823529412,1.0974025974025974,0.7231051344743277,1.2078239608801955,0.9830938292476754,0.9820627802690582,,0.2222222222222222,0.25,0.1702127659574468,2 / 9,1 / 4,24 / 141
Novato,236.0,3.2777777777777777,5.1,0.5686746987951807,0.3913764510779436,0.8109452736318408,0.21610169491525424,0.025974025974025976,0.0,,,0.029411764705882353,0 / 0,0 / 0,2 / 68
Oakland,19016.0,2.505918898987682,1.8878008975928193,1.2879105993904505,1.7826942908034125,1.1622761788694103,0.3236748001682793,0.046052631578947366,0.96875,,,0.12173913043478261,0 / 0,0 / 0,42 / 345
Oakley,1226.0,0.1,0.1,1.0496575342465753,2.9902439024390244,2.7756097560975608,0.00734094616639478,0.00779896013864818,0.0,0.0,1.0,0.14285714285714285,0 / 6,1 / 1,1 / 7
Pacifica,84.0,0.02702702702702703,0.02702702702702703,0.2033898305084746,0.1935483870967742,0.0967741935483871,0.023809523809523808,0.013157894736842105,,0.05555555555555555,0.0,0.023255813953488372,1 / 18,0 / 9,1 / 43
Palo Alto,506.0,1.125,1.1111111111111112,0.2545271629778672,0.3121529919802591,0.45157310302282544,0.09881422924901186,0.03821656050955414,0.0,0.030303030303030304,0.0,0.029585798816568046,5 / 165,0 / 4,5 / 169
Petaluma,714.0,0.485978835978836,0.6261398176291794,0.9583892617449664,0.20266818052795912,0.15242690888447347,0.31932773109243695,0.13662790697674418,,,,0.09302325581395349,0 / 0,0 / 0,8 / 86
