City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,Units permitted via BPS / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Calistoga,86.0,1.6590909090909092,2.2,3.185185185185185,0.20187793427230047,0.12441314553990611,0.4069767441860465,0.15789473684210525,0.5,0.06666666666666667,0.125,1 / 2,1 / 15,4 / 32
Campbell,413.0,2.0780800653594773,2.108695652173913,0.44265809217577706,0.3619631901840491,0.4075372480280456,0.7046004842615012,0.24,0.11926605504587157,0.16666666666666666,0.11811023622047244,13 / 109,2 / 12,15 / 127
Clayton,10.0,0.5227272727272727,0.16,0.07092198581560284,0.03816793893129771,,0.8,0.7272727272727273,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,114.0,0.9739130434782609,0.8653846153846154,0.5402843601895735,0.20577617328519857,0.06859205776173286,0.39473684210526316,0.23076923076923078,0.18181818181818182,0.13793103448275862,0.0967741935483871,2 / 11,4 / 29,6 / 62
Colma,75.0,,,1.271186440677966,2.8846153846153846,0.3076923076923077,0.0,0.0,,,0.0,0 / 0,0 / 0,0 / 1
Concord,225.0,0.8196825396825396,0.4528301886792453,0.06469235192639448,0.05660377358490566,0.08880503144654088,0.2222222222222222,0.3081761006289308,0.041666666666666664,0.14102564102564102,0.07859078590785908,4 / 96,11 / 78,29 / 369
Corte Madera,33.0,1.0,1.0,0.4583333333333333,0.5409836065573771,0.0,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,80.0,,,0.583941605839416,0.09019165727170236,0.05186020293122886,0.6,0.5362318840579711,0.0,0.0,0.4235294117647059,0 / 7,0 / 31,36 / 85
Cupertino,263.0,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.2742138364779874,0.07604562737642585,0.018867924528301886,,,0.07142857142857142,0 / 0,0 / 0,2 / 28
Daly City,710.0,4.12,4.12,0.5259259259259259,1.3421550094517958,1.1474480151228734,0.3957746478873239,0.15637860082304528,0.0,0.16666666666666666,0.20454545454545456,0 / 7,1 / 6,9 / 44
Danville,545.0,0.9696055937943844,1.9542857142857142,0.9784560143626571,0.6646341463414634,0.37317073170731707,0.7174311926605504,0.3724696356275304,0.28,0.0,0.16666666666666666,7 / 25,0 / 12,14 / 84
Dixon,185.0,0.35532334114184777,0.25203252032520324,0.9390862944162437,0.18743667679837892,0.5430597771023303,0.41621621621621624,0.41397849462365593,0.0,0.36363636363636365,0.3157894736842105,0 / 2,4 / 11,6 / 19
Dublin,3745.0,0.9986111111111112,0.44155844155844154,1.6389496717724288,1.1393367812595072,1.138728323699422,0.025367156208277702,0.01113490364025696,0.037037037037037035,0.08333333333333333,0.05128205128205128,2 / 54,2 / 24,4 / 78
East Palo Alto,92.0,0.21708683473389356,0.18575851393188855,0.19700214132762311,0.30882846592816376,0.22490768714333667,0.06521739130434782,0.1111111111111111,0.07407407407407407,0.0,0.05128205128205128,2 / 27,0 / 8,2 / 39
El Cerrito,369.0,3.0,3.0,0.9271356783919598,0.41045606229143494,0.3470522803114572,0.0921409214092141,0.1095890410958904,0.0,0.07792207792207792,0.058823529411764705,0 / 6,6 / 77,7 / 119
Emeryville,499.0,,,0.33311081441922563,0.16556071665560718,0.1267418712674187,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,82.0,1.35,1.35,1.3442622950819672,0.5694444444444444,0.027777777777777776,0.6585365853658537,0.034482758620689655,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52
